"","AKFIN_SURVEY_YEAR","MAT_SEX","mean_lat","mean_lon","sum_CPUE","chk_lat","chk_lon","mean_weighted_lat","mean_weighted_lon","shrt"
"33",1987,"Immature Female",56.9328355970149,-163.894154179104,42794.4388436039,56.8992824886892,-161.451241001976,56.8992824886892,-161.451241001976,"'87"
"34",1987,"Immature Male",56.9328355970149,-163.894154179104,59971.8467969135,56.9783742861876,-161.862807347993,56.9783742861876,-161.862807347993,"'87"
"35",1987,"Legal Male",56.9328355970149,-163.894154179104,18031.1334012124,56.8752463716324,-162.635245071319,56.8752463716324,-162.635245071319,"'87"
"36",1987,"Mature Female",56.9328355970149,-163.894154179104,45353.7878633337,56.7212981745348,-161.824189971626,56.7212981745348,-161.824189971626,"'87"
"37",1988,"Immature Female",56.9448619548872,-163.897744285714,6150.91611106439,56.778609856746,-162.161236570532,56.778609856746,-162.161236570532,"'88"
"38",1988,"Immature Male",56.9448619548872,-163.897744285714,27647.8016426181,56.6786967138149,-162.221652903044,56.6786967138149,-162.221652903044,"'88"
"39",1988,"Legal Male",56.9448619548872,-163.897744285714,18309.5154001926,56.7739883852586,-162.642435623502,56.7739883852586,-162.642435623502,"'88"
"40",1988,"Mature Female",56.9448619548872,-163.897744285714,49131.3771144264,56.3820242766588,-162.319178433703,56.3820242766588,-162.319178433703,"'88"
"41",1989,"Immature Female",56.9477609701493,-163.852238731343,9681.98329328266,57.3334158835137,-160.597061569072,57.3334158835137,-160.597061569072,"'89"
"42",1989,"Immature Male",56.9477609701493,-163.852238731343,24466.193735434,57.0505466482159,-161.40613551269,57.0505466482159,-161.40613551269,"'89"
"43",1989,"Legal Male",56.9477609701493,-163.852238731343,25541.8153588978,56.6687565276296,-162.406567807121,56.6687565276296,-162.406567807121,"'89"
"44",1989,"Mature Female",56.9477609701493,-163.852238731343,32541.9569739103,56.7061660620822,-161.892328321946,56.7061660620822,-161.892328321946,"'89"
"45",1990,"Immature Female",56.9432096296296,-163.866666592593,19365.1761614376,57.0319034519351,-161.049545045416,57.0319034519351,-161.049545045416,"'90"
"46",1990,"Immature Male",56.9432096296296,-163.866666592593,23921.7451529627,57.0851650826552,-161.280635629988,57.0851650826552,-161.280635629988,"'90"
"47",1990,"Legal Male",56.9432096296296,-163.866666592593,21978.3621374989,56.819304954159,-162.292143740093,56.819304954159,-162.292143740093,"'90"
"48",1990,"Mature Female",56.9432096296296,-163.866666592593,42116.289654403,56.4829179232385,-162.10446711751,56.4829179232385,-162.10446711751,"'90"
